parish,mr,townland,os,sublocation_1,sublocation_2,occupier,lessor,desc,area,land_val,building_val,total_val,n_shared,is_total,is_exemption
DERBYKEIGHAN,8 c,GARNCOGGY,,,,John Jackson,Same,H & O,,,0 10 0,0 10 0,1,0,0
DERBYKEIGHAN,8 d,GARNCOGGY,,,,Isabella O'Neill,Same,H & small garden,,,0 10 0,1 0 0,1,0,0
DERBYKEIGHAN,9 B,GARNCOGGY,,,,Rev. John Millar,Same,"H,O,& L",0 25,1 5 0,0 15 0,0 15 0,1,0,0
DERBYKEIGHAN,10,GARNCOGGY,,,,John Montgomery,In fee,L,33 3 35,59 0 0,,37 10 0,1,0,0
DERBYKEIGHAN,,GARNCOGGY,,,,,,L,32 2 30,31 10 0,,31 10 0,1,0,0
DERBYKEIGHAN,,GARNCOGGY,,,,,,Total of Rateable Property,172 3 5,146 5 0,19 5 0,165 10 0,1,1,0
DERBYKEIGHAN,3 b,GARNCOGGY,,,,,,Exemptions: Presbyterian Meeting-house and yard,0 1 20,0 5 0,3 0 0,3 5 0,1,0,1
DERBYKEIGHAN,,GARNCOGGY,,,,,,"Total, including Exemptions",173 0 25,146 10 0,27 5 0,173 15 0,1,1,0
DERBYKEIGHAN,1,DEEPSTOWN,12,,,John Stewart,"Sir Edmund G. W Macnaghten, Bt.","H,O,&L",36 2 20,33 0 0,1 10 0,34 10 0,1,0,0
DERBYKEIGHAN,2,DEEPSTOWN,,,,John Millar,Same,"H,O,&L",44 2 20,33 15 0,1 15 0,35 10 0,1,0,0
DERBYKEIGHAN,3,DEEPSTOWN,,,,John Montgomery,Same,Gate-lodge and L,18 0 0,15 15 0,1 0 0,16 15 0,1,0,0
DERBYKEIGHAN,,DEEPSTOWN,,,,,,Total,99 1 0,82 10 0,4 5 0,6 15 0,1,1,0
DERBYKEIGHAN,1 A,DERRIKEIGHAN,12,,,"Samuel Simpson, sen.",John Montgomery,L,4 2 10,5 5 0,,19 0 0,1,0,0
DERBYKEIGHAN,1 B,DERRIKEIGHAN,,,,Christian Mulligan,"Samuel Simpson, sen.",H & small garden,14 0 10,19 15 0,,,1,0,0
DERBYKEIGHAN,1 C,DERRIKEIGHAN,,,,Rev. Francis Dobbs,John Montgomery,G,,,0 15 0,0 15 0,1,0,0
DERBYKEIGHAN,2 A,DERRIKEIGHAN,,,,,,,0 0 10,0 2 0,,0 2 0,1,0,0
DERBYKEIGHAN,2 B,DERRIKEIGHAN,,,,"Samuel Simpson, jun.",Same,L,3 1 33,3 15 0,,,1,0,0
DERBYKEIGHAN,2 C,DERRIKEIGHAN,,,,,,,8 3 30,4 10 0,,17 0 0,1,0,0
DERBYKEIGHAN,2 D,DERRIKEIGHAN,,,,,,,0 2 20,0 10 0,,,1,0,0
DERBYKEIGHAN,2 E,DERRIKEIGHAN,,,,,,,7 3 30,0 10 0,,,1,0,0
DERBYKEIGHAN,3 a,DERRIKEIGHAN,,,,Female National school-house and yard,(See Exemptions.),,2 2 0,1 15 0,,,1,0,1
DERBYKEIGHAN,3 a,DERRIKEIGHAN,,,,"Samuel Simpson, jun.",,Half annual rent of Female National school-house and yard,,,,,1,0,1
DERBYKEIGHAN,3 A,DERRIKEIGHAN,,,,Charlotte and Mary Simpson,John Montgomery,L,4 0 30,4 15 0,,1 0 0,1,0,0
DERBYKEIGHAN,3 B,DERRIKEIGHAN,,,,John Simpson,Same,H & G,2 2 36,3 0 0,,7 15 0,1,0,0
DERBYKEIGHAN,3 c,DERRIKEIGHAN,,,,,,,0 0 24,0 5 0,0 15 0,1 0 0,1,0,0
